ImageID,distance,location
0,351,"[215, 158]"
1,372,"[228, 269]"
2,488,"[255, 386]"
3,308,"[306, 426]"
4,67,"[248, 338]"
5,372,"[259, 436]"
6,142,"[223, 343]"
7,206,"[300, 159]"
8,201,"[286, 443]"
9,204,"[256, 295]"
10,105,"[281, 84]"
11,221,"[322, 169]"
12,317,"[259, 108]"
13,437,"[284, 440]"
14,220,"[264, 461]"
15,368,"[212, 454]"
16,248,"[269, 474]"
17,126,"[284, 192]"
18,190,"[202, 302]"
19,228,"[229, 167]"
20,161,"[244, 102]"
21,349,"[212, 271]"
22,484,"[311, 473]"
23,297,"[322, 62]"
24,153,"[239, 367]"
25,192,"[269, 266]"
26,371,"[274, 233]"
27,330,"[294, 472]"
28,107,"[281, 474]"
29,313,"[248, 446]"
30,157,"[272, 289]"
31,111,"[278, 302]"
32,465,"[236, 99]"
33,209,"[215, 367]"
34,209,"[241, 120]"
35,364,"[273, 349]"
36,408,"[316, 479]"
37,256,"[312, 205]"
38,96,"[253, 184]"
39,400,"[208, 325]"
40,432,"[234, 229]"
41,112,"[256, 379]"
42,338,"[243, 281]"
43,108,"[239, 456]"
44,156,"[288, 202]"
45,346,"[244, 284]"
46,479,"[280, 76]"
47,295,"[285, 276]"
48,401,"[261, 409]"
49,220,"[326, 490]"
50,211,"[311, 261]"
51,243,"[211, 325]"
52,373,"[229, 220]"
53,292,"[291, 453]"
54,106,"[308, 222]"
55,352,"[245, 244]"
56,173,"[277, 289]"
57,358,"[243, 222]"
58,450,"[208, 271]"
59,476,"[202, 464]"
60,133,"[279, 174]"
61,195,"[288, 73]"
62,170,"[240, 169]"
63,219,"[266, 246]"
64,166,"[219, 448]"
65,95,"[295, 272]"
66,367,"[287, 384]"
67,359,"[291, 203]"
68,241,"[262, 300]"
69,367,"[262, 193]"
70,353,"[293, 197]"
71,113,"[326, 264]"
72,400,"[218, 197]"
73,106,"[275, 272]"
74,247,"[264, 109]"
75,448,"[300, 503]"
76,265,"[256, 190]"
77,171,"[221, 156]"
78,342,"[237, 70]"
79,190,"[256, 348]"
80,407,"[308, 401]"
81,352,"[212, 276]"
82,146,"[325, 421]"
83,251,"[237, 284]"
84,282,"[311, 201]"
85,210,"[233, 68]"
86,214,"[267, 261]"
87,424,"[292, 465]"
88,209,"[229, 63]"
89,125,"[255, 190]"
90,185,"[311, 272]"
91,321,"[260, 299]"
92,94,"[262, 240]"
93,414,"[266, 274]"
94,258,"[313, 74]"
95,288,"[310, 333]"
96,214,"[282, 79]"
97,167,"[223, 356]"
98,271,"[274, 124]"
99,368,"[231, 277]"
100,344,"[258, 351]"
101,337,"[263, 147]"
102,345,"[304, 401]"
103,143,"[318, 421]"
104,445,"[254, 455]"
105,352,"[307, 425]"
106,453,"[311, 110]"
107,87,"[217, 227]"
108,301,"[203, 99]"
109,70,"[285, 262]"
110,371,"[259, 445]"
111,412,"[309, 441]"
112,264,"[212, 485]"
113,394,"[308, 473]"
114,321,"[273, 168]"
115,323,"[278, 393]"
116,435,"[204, 330]"
117,112,"[210, 233]"
118,177,"[314, 71]"
119,286,"[292, 250]"
120,172,"[243, 334]"
121,132,"[315, 107]"
122,68,"[213, 257]"
123,457,"[256, 97]"
124,204,"[247, 200]"
125,184,"[266, 197]"
126,433,"[305, 388]"
127,478,"[290, 321]"
128,399,"[252, 439]"
129,277,"[241, 252]"
130,105,"[236, 331]"
131,433,"[288, 214]"
132,463,"[227, 58]"
133,402,"[230, 117]"
134,268,"[313, 56]"
135,481,"[325, 493]"
136,268,"[252, 315]"
137,433,"[300, 295]"
138,360,"[299, 145]"
139,102,"[314, 307]"
140,266,"[239, 89]"
141,462,"[284, 222]"
142,261,"[245, 109]"
143,267,"[248, 288]"
144,168,"[214, 329]"
145,415,"[219, 207]"
146,448,"[303, 197]"
147,222,"[266, 101]"
148,393,"[211, 149]"
149,472,"[280, 343]"
150,407,"[248, 368]"
151,372,"[304, 295]"
152,255,"[266, 393]"
153,465,"[272, 335]"
154,352,"[308, 254]"
155,279,"[230, 83]"
156,159,"[207, 196]"
157,176,"[233, 54]"
